versao,dia,mercado,janela,barra,rotulo,r_exf,r_net,atr_pct,risco_pct
mean_reversion v10,2026-06-27,SUIUSDT,J1,2026-06-27T09:45:00Z,BTC_BEAR,0.436043,,0.01183990193713622778444467069,0.019652
mean_reversion v10,2026-06-27,ARBUSDT,J1,2026-06-27T10:00:00Z,BTC_BEAR,0.559674,,0.01213836075314578539081695737,0.019456
mean_reversion v10,2026-06-27,LINKUSDT,J1,2026-06-27T11:45:00Z,BTC_BEAR,0.673600,,0.008707793727660233255957747359,0.015578
mean_reversion v10,2026-06-27,PROMUSDT,J1,2026-06-27T17:15:00Z,BTC_BEAR,-1.121750,,0.008370086293176512914497160673,0.011403
mean_reversion v10,2026-06-27,TAOUSDT,J1,2026-06-27T17:30:00Z,BTC_BEAR,-1.116048,,0.008407283396457088749954468759,0.011959
mean_reversion v10,2026-06-27,ARBUSDT,J1,2026-06-27T17:30:00Z,BTC_BEAR,-1.091945,,0.01044037190516732467288774703,0.015060
mean_reversion v10,2026-06-27,SOLUSDT,J1,2026-06-27T17:45:00Z,BTC_BEAR,-1.104801,,0.008741563563088381697861386414,0.013230
mean_reversion v10,2026-06-27,UNIUSDT,J1,2026-06-27T19:45:00Z,BTC_BEAR,-0.476089,,0.01128775756606926449017137584,0.017728
mean_reversion v10,2026-06-27,NEARUSDT,J1,2026-06-27T19:45:00Z,BTC_BEAR,0.597630,,0.01545958366737226665189557485,0.024680
mean_reversion v10,2026-06-28,NEARUSDT,J1,2026-06-28T04:45:00Z,LOW_VOLATILITY,-1.053820,,0.01680775356869052700617489036,0.025534
mean_reversion v10,2026-06-28,NEARUSDT,J1,2026-06-28T06:30:00Z,LOW_VOLATILITY,0.163842,,0.01677240823331825251281063924,0.027242
mean_reversion v10,2026-06-28,ARBUSDT,J1,2026-06-28T13:30:00Z,LOW_VOLATILITY,-0.810484,,0.009510205466245350922688058125,0.014651
mean_reversion v10,2026-06-28,SOLUSDT,J1,2026-06-28T17:00:00Z,LOW_VOLATILITY,-1.092814,,0.009185602789670503998748920554,0.014921
mean_reversion v10,2026-06-29,ETHUSDT,J1,2026-06-29T08:45:00Z,SIDEWAYS,0.018312,,0.009131283912055937059129852542,0.014542
mean_reversion v10,2026-06-29,DASHUSDT,J1,2026-06-29T08:45:00Z,SIDEWAYS,0.420910,,0.01266242211263011993137043977,0.020005
mean_reversion v10,2026-06-29,SUIUSDT,J1,2026-06-29T11:30:00Z,SIDEWAYS,0.273415,,0.01182391754600473876548721778,0.017115
mean_reversion v10,2026-06-29,NEARUSDT,J1,2026-06-29T11:30:00Z,SIDEWAYS,0.055921,,0.01563959679644263823395284735,0.022666
mean_reversion v10,2026-06-29,DASHUSDT,J1,2026-06-29T14:00:00Z,BTC_BEAR,1.545476,,0.01376907021533713904749661407,0.019741
mean_reversion v10,2026-06-29,LINKUSDT,J1,2026-06-29T14:00:00Z,BTC_BEAR,1.532942,,0.01087282065144091220444768051,0.015547
mean_reversion v10,2026-06-29,ARBUSDT,J1,2026-06-29T14:00:00Z,BTC_BEAR,1.582595,,0.01471129360522690822464815712,0.020833
mean_reversion v10,2026-06-29,XRPUSDT,J1,2026-06-29T14:30:00Z,BTC_BEAR,0.827387,,0.01073982188741462172530110097,0.018003
mean_reversion v10,2026-06-29,PROMUSDT,J1,2026-06-29T22:30:00Z,BTC_BEAR,-0.013759,,0.01060581111870620386209065657,0.016499
mean_reversion v10,2026-06-29,LINKUSDT,J1,2026-06-29T22:45:00Z,BTC_BEAR,-1.084762,,0.01054325443804935743391889747,0.016322
