versao,dia,mercado,original,janela,r_exf,r_net,r_bruto,risco_pct,atr_pct
v1,2026-07-26,UNIUSDT,f,J2,0.566811,,0.781854,0.009329,0.006428
v1,2026-07-27,PROMUSDT,f,J2,-1.102239,,-0.955774,0.013559,0.013465
v1,2026-07-28,UNIUSDT,f,J2,1.221201,,1.468894,0.008118,0.007780
v1,2026-07-29,TAOUSDT,f,J2,1.394916,,1.703151,0.006521,0.006809
v1,2026-07-29,PROMUSDT,f,J2,-1.090405,,-0.960843,0.015314,0.016170
v1,2026-07-29,PROMUSDT,f,J2,-1.083576,,-0.963769,0.016550,0.016449
v1,2026-07-29,UNIUSDT,f,J2,-1.168383,,-0.927438,0.008264,0.008169
v1,2026-07-29,UNIUSDT,f,J2,1.177320,,1.400293,0.009021,0.008426
v1,2026-07-30,UNIUSDT,f,J2,1.341611,,1.652217,0.006470,0.006623
v1,2026-07-31,UNIUSDT,f,J2,1.111816,,1.262514,0.013376,0.011883
v1,2026-07-31,NEARUSDT,f,J2,-1.174696,,-0.924734,0.007967,0.007372
v1,2026-08-01,DASHUSDT,f,J2,-1.202196,,-0.912953,0.006889,0.006609
v1,2026-08-01,DASHUSDT,f,J2,1.460234,,1.816070,0.005646,0.006642
v1,2026-08-01,SAHARAUSDT,f,J2,-1.225331,,-0.903043,0.006185,0.006353
v1,2026-08-02,PROMUSDT,f,J2,-1.094383,,-0.959139,0.014675,0.019232
v1,2026-08-02,PROMUSDT,f,J2,-1.084984,,-0.963166,0.016279,0.019360
v1,2026-08-02,SAHARAUSDT,f,J2,-1.196521,,-0.915385,0.007087,0.007858
v1,2026-08-02,SAHARAUSDT,f,J2,-1.194433,,-0.916279,0.007162,0.006441
v1,2026-08-02,UNIUSDT,f,J2,0.679313,,0.878516,0.010078,0.007353
v1,2026-08-02,UNIUSDT,f,J2,1.417167,,1.739838,0.006228,0.006583
v1,2026-08-03,ZECUSDT,f,J2,-1.185313,,-0.920186,0.007513,0.006588
v1,2026-08-03,ZECUSDT,f,J2,-1.168816,,-0.927253,0.008243,0.006779
v1,2026-08-03,PROMUSDT,f,J2,1.310538,,1.441649,0.015415,0.014824
v1,2026-08-03,SAHARAUSDT,f,J2,0.948962,,1.213778,0.007583,0.006482
v1,2026-08-04,SAHARAUSDT,f,J2,1.114682,,1.354786,0.008372,0.007651
v1,2026-08-04,TAOUSDT,f,J2,1.067052,,1.366061,0.006715,0.006119
v1,2026-08-05,SAHARAUSDT,f,J2,-1.213556,,-0.908087,0.006524,0.006301
v1,2026-08-05,UNIUSDT,f,J2,1.261393,,1.554505,0.006856,0.006766
v1,2026-08-05,PROMUSDT,f,J2,-1.090597,,-0.960761,0.015282,0.012180
v1,2026-08-05,SAHARAUSDT,f,J2,1.111162,,1.316476,0.009798,0.008848
v1,2026-08-05,UNIUSDT,f,J2,-1.158647,,-0.931609,0.008768,0.008905
v1,2026-08-05,UNIUSDT,f,J2,1.148293,,1.391281,0.008273,0.007678
v1,2026-08-06,SAHARAUSDT,f,J2,-1.174610,,-0.924771,0.007971,0.008439
v1,2026-08-06,PROMUSDT,f,J2,1.440402,,1.771132,0.006076,0.006493
v1,2026-08-07,PROMUSDT,f,J2,-1.138841,,-0.940094,0.010010,0.009416
v1,2026-08-07,UNIUSDT,f,J2,-1.171710,,-0.926013,0.008105,0.007758
v1,2026-08-08,PROMUSDT,f,J2,-1.111028,,-0.952009,0.012495,0.011902
v1,2026-08-08,PROMUSDT,f,J2,-1.142584,,-0.938490,0.009749,0.009155
v1,2026-08-08,SAHARAUSDT,f,J2,-0.958428,,-0.672983,0.006986,0.006390
v1,2026-08-09,PROMUSDT,f,J2,-1.104616,-1.104616,-0.954755,0.013253,0.013578
v1,2026-08-09,PROMUSDT,f,J2,-1.120926,-1.125266,-0.947769,0.011480,0.012273
v1,2026-08-09,PROMUSDT,f,J2,-1.139259,-1.139259,-0.939915,0.009980,0.011747
v1,2026-08-11,LINKUSDT,f,J3,1.407816,1.407816,1.811740,0.004971,0.006351
v1,2026-08-12,NEARUSDT,f,J3,-1.365406,-1.391688,-0.843036,0.003820,0.007459
v1,2026-08-12,PROMUSDT,f,J3,1.951546,1.951546,2.002461,0.040864,0.048451
v1,2026-08-12,ZECUSDT,f,J3,0.837643,0.837643,1.100086,0.007648,0.006194
v1,2026-08-14,PROMUSDT,f,J3,-1.058422,-1.058422,-0.974544,0.023556,0.020628
v1,2026-08-15,LINKUSDT,f,J3,-1.256373,-1.256373,-0.889745,0.005439,0.007378
v1,2026-08-15,LINKUSDT,f,J3,-1.188842,-1.188842,-0.918674,0.007373,0.006671
v1,2026-08-19,PROMUSDT,f,J3,1.209777,1.209777,1.316044,0.019045,0.017432
v1,2026-08-19,PROMUSDT,f,J3,-1.096181,-1.096181,-0.958369,0.014404,0.014309
v1,2026-08-19,PROMUSDT,f,J3,0.567997,0.674584,0.716738,0.013503,0.013414
